TerminalNode,VPUCode
110218263,102
110218267,102
110218281,102
110222207,102
110223512,102
110223547,102
110224833,102
110226136,102
110226161,102
110226164,102
110228763,102
110228773,102
110230073,102
110230086,102
110230094,102
110232719,102
110232725,102
110233986,102
110234004,102
110234006,102
110234010,102
110234021,102
110234037,102
110235335,102
110236654,102
110237934,102
110237940,102
110239294,102
110240594,102
110240597,102
110240604,102
110243195,102
110243212,102
110243227,102
110248473,102
110249753,102
110249787,102
110252400,102
110253693,102
110255010,102
110258947,102
110261577,102
110261586,102
110268137,102
110269458,102
110274685,102
110277343,102
110278620,102
110278624,102
110281247,102
110282560,102
110283876,102
110286495,102
110286521,102
110287834,102
110294399,102
110303577,102
110304889,102
110319292,102
110320606,102
110320616,102
110337694,102
110337695,102
110345570,102
110349508,102
110354759,102
110361318,102
110363936,102
110365248,102
110371809,102
110377058,102
110391490,102
110394115,102
110398054,102
110404608,102
110404611,102
110404619,102
110407235,102
110408544,102
110412486,102
110413794,102
110413803,102
110417729,102
110417737,102
110419049,102
110420353,102
110422978,102
110429548,102
110437415,102
110442659,102
110446595,102
110451843,102
110453168,102
110466277,102
110482024,102
110483335,102
110485959,102
110492537,102
110492736,102
110493834,102
110496459,102
110518768,102
110529278,102
110535822,102
110542390,102
110545005,102
110555505,102
110559437,102
110564764,102
110566116,102
110575184,102
110581962,102
110584376,102
110592245,102
110598804,102
110600121,102
110601494,102
110609294,102
110614695,102
110616010,102
110619868,102
110619994,102
110622493,102
110623726,102
110625049,102
110625059,102
110631607,102
110631608,102
110636856,102
110636857,102
110639473,102
110641003,102
110646040,102
110647352,102
110647528,102
110661998,102
110663113,102
110667025,102
110667090,102
110668340,102
110669684,102
110670959,102
110672271,102
110673808,102
110676259,102
110678886,102
110680360,102
110685404,102
110688025,102
110688199,102
110689484,102
110690738,102
110690750,102
110695910,102
110696080,102
110701222,102
110703768,102
110706389,102
110706463,102
110707772,102
110709013,102
110709037,102
110709065,102
110710365,102
110710382,102
110711643,102
110715722,102
110716955,102
110717063,102
110719509,102
110721032,102
110724763,102
110726093,102
110731469,102
110735438,102
110738060,102
110740503,102
110741925,102
110751038,102
110751050,102
110752408,102
110753623,102
110753722,102
110760266,102
110762913,102
110768126,102
110770741,102
110770791,102
110773344,102
110774803,102
110777283,102
110777351,102
110778645,102
110779998,102
110782580,102
110782611,102
110783959,102
110789101,102
110790391,102
110791737,102
110794448,102
110794467,102
110798388,102
110800855,102
110803570,102
110808889,102
