outletRiverId,groupId
120663124,104
120663152,105
120666287,104
120666395,105
120666422,105
120668046,105
120669793,105
120672975,105
120674760,105
120676490,104
120677895,105
120681320,105
120681345,105
120683065,105
120683112,104
120684511,104
120686283,105
120689714,105
120689860,104
120691226,104
120691348,104
120696331,104
120696389,105
120701244,105
120703142,104
120704613,104
120704638,105
120706305,104
120709498,104
120714624,105
120717884,104
120719453,105
120719457,104
120721412,105
120724513,105
120731129,105
120734608,105
120736081,104
120737786,105
120746149,104
120746190,104
120749536,105
120759466,104
120766111,104
120772729,105
120774411,104
120792679,104
130054736,110
130063239,110
130066711,110
130075129,110
130080308,110
130080355,110
130081972,110
130083795,110
130087079,110
130092274,110
130094013,110
130094048,110
130095615,110
130097338,110
130097426,110
130099182,110
130100781,110
130100857,110
130100929,110
130100931,110
130102496,110
130107794,110
130111157,110
130112728,110
130112905,110
130114411,110
130114622,110
130116197,110
130116319,110
130117952,110
130119602,110
130121500,110
130123012,110
130128189,110
130128212,110
130131531,110
130135053,110
130136685,110
130136688,110
130141795,110
130143641,110
130146910,110
130152085,110
130152186,110
130153771,110
130160617,110
130177729,110
130189733,110
130193114,110
130196537,110
130196538,110
130199962,110
130201677,110
130203401,110
130211955,110
130211982,110
130239313,110
130278703,110
130282097,110
130299223,110
130300899,110
130352277,110
130406866,110
130434224,110
130434418,110
130437804,110
130442985,110
130448825,109
130465093,110
130470127,110
130477137,110
130479905,109
130488939,110
130490842,110
130495084,109
130495814,110
130497234,109
130497666,110
130498950,109
130499255,110
130502756,110
130505891,109
130507726,110
130519740,110
130523159,110
130523409,110
130524159,109
130524444,109
130526723,110
130528425,110
130531012,109
130531087,109
130531774,110
130531791,110
130531830,110
130538829,110
130539607,109
130540014,109
130540507,110
130541268,109
130541558,109
130544701,109
130545365,109
130552142,109
130554069,110
130555621,109
130555757,110
130559055,109
130560952,110
130563543,109
130565524,109
130568699,109
130574534,110
130576178,109
130578116,110
130580988,109
130582442,109
130582577,109
130584093,109
130584714,109
130584771,110
130584872,110
130587808,109
130588133,108
130588145,109
130599832,109
130600398,110
130603190,109
130603654,110
130606674,109
130610099,109
130610258,109
130610574,110
130613519,109
130615603,110
130622633,110
130625411,109
130628578,109
130630999,110
130632490,109
130633719,109
130633753,109
130637970,110
130644211,109
130646216,109
130655207,110
130657771,109
130657950,109
130659539,109
130661291,109
130661995,110
130662882,109
130663085,109
130665094,109
130666484,109
130666596,109
130667963,109
130668011,109
130668447,109
130676841,109
130678348,109
130678418,109
130681709,109
130683385,109
130683577,109
130683637,109
130687343,109
130690633,109
130690892,109
130695809,109
130697332,109
130704012,109
130711047,109
130711124,109
130715909,109
130722864,109
130724835,109
130729654,109
130731366,109
130736449,109
130742191,109
130745580,109
130747391,108
130748422,109
130748594,109
130748624,109
130750761,109
130753607,109
130762167,109
130765697,109
130770757,109
130789607,109
140004362,111
140005819,111
140014552,111
140017462,111
140021829,113
140023281,113
140024741,111
140026197,112
140027655,111
140030561,112
140037836,112
140037843,112
140042210,111
140043667,111
140048030,113
140049484,111
140052399,111
140053850,111
140055310,111
140056766,111
140058223,112
140059674,112
140061127,113
140065495,112
140066953,113
140068407,112
140071581,111
140072776,112
140072779,111
140072976,111
140074229,111
140075953,111
140077143,111
140080321,111
140081777,111
140087317,112
140088779,113
140096069,112
140097520,112
140097808,111
140098970,112
140098971,112
140098975,112
140101877,112
140104797,112
140107688,113
140109160,112
140109436,111
140110893,111
140112346,111
140112351,111
140113522,113
140114980,112
140114988,112
140116423,113
140116724,111
140119343,113
140119346,112
140119351,113
140119636,111
140126621,112
140132444,113
140133894,113
140139722,113
140140015,111
140141180,113
140142634,112
140142955,111
140145556,113
140147370,111
140147464,111
140149910,112
140154606,111
140160102,112
140160105,112
140160466,111
140161916,111
140163003,113
140174991,111
140177570,113
140179028,113
