riverName,riverId,outletRiverId,watershedName,lat,lon,country,parentRiverId,bboxWest,bboxSouth,bboxEast,bboxNorth,notes,validationFlag,sourceRow,wikipedia
Bol'shoy Irgiz,280456597,280274809,Volga,52.06365,47.55371,Russia,280274809,47.3397,51.14032,51.39589,52.5251,,,111.0,
Samara,280576357,280274809,Volga,53.16254,50.03391,Russia,280274809,50.03391,51.8741,54.81232,54.08688,,,112.0,
Suda,280714398,280274809,Volga,58.06233,38.83429,Russia,280274809,35.04465,58.06233,40.15897,60.37122,,,120.0,
Oka,280777831,280274809,Volga,56.33744,43.98264,Russia,280274809,33.25392,52.15654,44.95006,57.38577,,,117.0,
Euphrates,291146671,291153602,Shat-Al-Arab,31.00411,47.44344,Iraq,291153602,36.87444,28.85767,47.44344,40.266,,,546.0,
Shat-Al-Arab,291153602,291153602,Shat-Al-Arab,29.926,48.62167,Iran,,36.87444,28.85767,51.924,40.266,,,547.0,
Tigris,291182443,291153602,Shat-Al-Arab,31.00411,47.44344,Iraq,291153602,39.42756,31.00411,49.07422,38.69344,,,545.0,
Ob,310363561,310363561,Ob,66.704,70.00319,Russia,,59.09154,46.77354,92.55335,68.00022,,,47.0,
Kazym,310476849,310363561,Ob,63.91911,65.87206,Russia,310363561,65.86367,62.71144,71.53148,64.45933,,,48.0,
Vakh,310546509,310363561,Ob,60.81699,76.77722,Russia,310363561,76.77722,60.58177,85.82052,63.11199,,,50.0,
Biya,310580832,310363561,Ob,52.42366,85.09614,Russia,310363561,85.09614,50.17254,89.59385,53.09466,Source of Ob,,56.0,
Irtysh,310582199,310363561,Ob,61.16044,69.23971,Russia,310363561,59.09154,46.77354,90.40844,61.90233,"tributary outlets sooner than the layer in Ob river, used outlet to first touch the Ob",,49.0,
Katun,310590755,310363561,Ob,52.42366,85.09614,Russia,310363561,84.16806,49.18299,89.59786,52.53155,Source of Ob,,55.0,
Vasyugan,310631940,310363561,Ob,59.15655,80.61998,Russia,310363561,74.91249,57.15044,80.7533,59.56755,,,51.0,
Tom,310735274,310363561,Ob,56.89644,84.45148,Russia,310363561,84.28612,52.27488,89.82215,56.99266,,area-disagrees-with-network,54.0,
Kopylovskaya Ket,310758940,310363561,Ob,58.80844,81.65429,Russia,310363561,81.65429,56.84399,92.55335,59.95299,"tributary outlets sooner than the layer in Ob river, used reccomended outlet",,52.0,
Chulym,310804648,310363561,Ob,57.72566,83.81141,Russia,310363561,83.81141,53.79821,92.52055,58.20588,,,53.0,
Yenesei,320185642,320185642,Yenesei,69.60711,84.53045,Russia,,84.11586,46.52013,113.72485,70.259,,,39.0,
Reka Kureyka**,320247982,320185642,Yenesei,66.47712,87.21038,Russia,320185642,87.21038,66.38001,97.25345,68.88467,,,41.0,
Yenesei,320257130,320185642,Yenesei,68.13434,86.51625,Russia,320185642,86.51625,67.31045,93.7194,69.12711,,,40.0,
"""Upper"" Yenesei **",320287572,320185642,Yenesei,56.5039,93.73138,Russia,320185642,87.99108,50.02169,100.13479,56.5039,,,45.0,
Angara,320324369,320185642,Yenesei,58.09612,93.02586,Russia,320185642,93.02586,46.52013,113.72485,60.04268,,,44.0,
Nizhnyaya Tunguska,320394315,320185642,Yenesei,65.7449,88.03014,Russia,320185642,88.03014,57.73001,109.11625,67.965,,,42.0,
Lena,340058932,340058932,Lena,73.36822,126.53273,Russia,,103.51214,52.23189,141.42717,73.36822,,,58.0,
Vilyuy,340449768,340058932,Lena,64.40644,126.37631,Russia,340058932,103.51214,59.32978,126.61042,67.12644,,,59.0,
Olyokma,340461147,340058932,Lena,60.38678,120.67601,Russia,340058932,114.77724,53.81422,124.4162,60.50122,,,61.0,
Vitim,340474101,340058932,Lena,59.48967,112.5623,Russia,340058932,110.53464,52.23189,120.42098,59.48967,,,62.0,
Aldan,340512403,340058932,Lena,63.467,129.38661,Russia,340058932,122.07218,55.53811,141.42717,65.18144,,,60.0,
Nakdong,410048037,410048037,Nakdong,35.07778,128.93726,South Korea,,127.52993,35.04511,129.19937,37.181,,,528.0,
Han,410061229,410061229,Han,37.76878,126.56677,South Korea,,126.56677,36.51167,128.99146,39.12056,,,529.0,
Taedong,410072452,410072452,Taedong,38.68589,125.1937,North Korea,,125.1937,38.23333,127.07919,40.26867,,,530.0,
Yalu,410153292,410153292,Yalu,39.92644,124.30903,China,,123.66719,39.92644,128.69325,42.22489,,,531.0,
Liao,410239262,410239262,Liao,40.94344,121.81293,China,,116.8647,40.94344,125.5095,45.18267,,,532.0,
Argun,410625781,410663685,Amur,53.334,121.48059,Russia,410663685,107.60878,45.82289,122.77491,53.37533,Source of Amur,,73.0,
Shilka,410637044,410663685,Amur,53.334,121.48059,Russia,410663685,108.8204,47.82867,121.48059,54.65811,Source of Amur,,72.0,
Amgun,410643206,410663685,Amur,52.96944,139.69646,Russia,410663685,133.3833,50.39456,139.99205,53.52167,,,65.0,
Amur,410663685,410663685,Amur,52.96689,141.09119,Russia,,107.60878,41.76622,141.09119,55.86767,"Finished. Lots of tributaries, need to pick which ones we want",,64.0,
Zeya,410692478,410663685,Amur,50.24189,127.59857,Russia,410663685,123.56809,50.22211,134.8237,55.86767,,,70.0,
River,410732353,410663685,Amur,51.60811,126.6782,China,410663685,122.69287,51.306,126.6782,52.663,,,71.0,
Bureya,410761122,410663685,Amur,49.43178,129.46727,Russia,410663685,129.2377,49.27344,135.05905,52.67267,,,69.0,
Tunguska,410772424,410663685,Amur,48.61811,135.01416,Russia,410663685,132.79593,48.46367,136.11671,50.52367,,,66.0,
