TerminalLink,VPUCode
310558797,302
310457624,302
310412026,302
310527103,302
310412042,302
310453710,302
310400150,302
310544983,302
310523167,302
310535074,302
310535067,302
310455768,302
310499446,302
310420078,302
310471672,302
310412152,302
310479610,302
310412158,302
310459782,302
310439942,302
310412163,302
310479623,302
310400279,302
310441952,302
310416176,302
310487610,302
310384448,302
310380482,302
310424176,302
310406332,302
310396527,302
310307274,302
310021833,301
310139137,301
310147116,301
310212668,301
310234544,301
310323915,301
310427870,302
310459788,302
310426061,302
310485661,302
310400352,302
310457910,302
310348890,302
310069528,301
320085329,303
320130266,303
320168458,303
320281702,303
320020758,303
320021920,303
320029989,303
320018470,303
320036917,303
320057661,303
320093394,303
320129113,303
320089945,303
320111858,303
320145277,303
320100354,303
320061190,303
320128005,303
320140683,303
320126872,303
320005985,303
320311983,303
320195696,303
320099038,303
320017284,303
320027675,303
320031137,303
320028853,303
320053046,303
320049592,303
320042687,303
320054212,303
320051908,303
320054216,303
320081863,303
320079562,303
320114131,303
320100312,303
320136030,303
320133728,303
320089957,303
320122240,303
320155647,303
320113058,303
320144166,303
320073920,303
320113097,303
320279297,303
320196648,303
320019588,303
320026508,303
320024230,303
320057646,303
320038069,303
320051897,303
320047297,303
320062277,303
320058821,303
320104910,303
320112977,303
320142940,303
320131450,303
320134939,303
320148770,303
320107318,303
320094657,303
320191557,303
320321954,303
320242714,303
320216220,303
320377645,303
320288942,303
320110559,303
320092139,303
320029987,303
320073778,303
320055356,303
320139486,303
320137212,303
320134937,303
320114212,303
320120848,303
320049526,303
320072646,303
340088422,304
340049726,304
340051567,304
340095771,304
340079248,304
340064645,304
340029485,304
340092090,304
340066401,304
340322843,304
410384304,402
410565497,402
410055033,401
410277577,402
410394337,402
410616700,402
410562477,402
410400825,402
410374261,402
410248388,402
410235123,402
410155313,401
410129721,402
410078555,401
410070369,401
410025529,401
410012226,401
410261157,402
410513239,402
410481514,402
410522490,402
410524595,402
410653634,402
410601413,402
410606535,402
410482651,402
410642393,401
410507285,401
410193185,401
410168612,402
410099026,401
410070386,401
410059129,401
410053090,401
410537819,402
410601338,402
410529657,402
410509183,402
410559407,402
410664896,402
410584007,402
410579910,402
410692579,402
410567653,402
410433686,401
410352837,402
410124612,401
410072408,401
410079583,401
410063231,401
410062209,401
410056080,401
410071462,401
410060201,401
410599419,401
410530849,401
410191132,402
410048947,401
410024506,401
410313414,402
410361013,402
410061225,401
420558202,404
420458877,404
420535972,406
420531026,406
420565962,405
420447192,405
420322299,403
420324694,404
420345183,404
420447608,404
420500861,404
420458885,404
420572610,405
420632006,405
420602332,405
420441573,404
420478447,405
420619943,405
420620003,405
420561710,406
420502442,403
420519866,403
420466627,403
420556754,406
420517845,405
420380658,405
420374516,405
420295674,405
420322301,405
420315151,405
420248603,403
420184103,403
420061303,403
420031642,403
420013214,403
420009119,403
420236588,404
420441461,404
420546953,404
420474252,404
420505006,404
420536785,405
420538864,404
420824627,405
420705903,405
420583090,405
420600541,405
420628274,405
420532109,405
420525993,403
420577199,405
420493235,405
420442037,403
420420536,405
420556729,403
420578236,405
420449225,406
420433862,405
420441039,405
420468701,405
420472798,405
420420594,405
420336627,403
420393988,405
420318226,405
420286489,403
420176933,403
420120628,403
420137008,403
420104249,403
420047954,403
420409702,404
420440437,404
420378997,404
420380021,404
420461956,404
420373915,404
420526509,404
420515258,405
420598214,405
420624841,405
420601324,405
420500117,405
420548255,405
420612779,405
420654821,405
420492230,405
420383734,405
420308992,405
420335625,405
420128830,403
420726321,405
420463447,406
420452231,403
420536219,405
420541347,405
420497312,405
420415458,405
420047949,403
420207914,404
420665015,405
420543164,405
420567801,405
420278295,403
430382483,407
430223943,408
430193233,407
430027458,407
430348613,407
430410135,407
430307749,407
430440870,407
430307766,407
430297610,407
430303780,407
430279218,407
430238261,407
430217793,408
430206536,407
430167638,408
430193239,408
430122588,408
430108259,408
430072424,407
430113544,407
430087969,407
430096167,407
430069584,407
430054254,407
430285233,407
430337538,407
430319126,408
430306836,407
430244390,407
430266933,407
430166600,408
430229069,407
430093923,408
430086771,407
430094130,407
430021492,407
430460295,407
430477712,407
430397870,407
430388655,407
430350770,407
430336461,407
430403059,407
430354932,407
430337546,407
430343692,408
430316052,408
430087784,408
430076543,407
430084736,407
430054022,407
430093963,407
430058288,407
430060377,407
430085769,407
430095114,407
430067536,407
440553862,409
440204588,410
440764231,412
440596487,409
440188111,410
440096140,410
440083777,410
440053584,410
440280873,412
440296014,412
440783522,412
440856454,411
440617070,411
440804209,411
440745042,411
440621211,409
440641869,409
440750572,411
440600612,409
440555234,409
440482332,409
440443842,409
440436995,410
440361318,409
440373721,409
440289842,409
440269229,411
440149739,410
440126361,410
440091997,410
440098922,410
440079662,410
440096183,410
440081071,410
440067322,410
440049518,410
440056400,410
440902999,409
440746222,412
440824676,412
440661007,412
440655517,412
440856455,411
440673484,411
440753314,411
440758835,409
440740953,409
440647398,409
440507112,409
440457587,409
440447966,409
440471362,411
440408072,409
440311766,411
440380572,409
440428736,409
440247144,410
440263699,410
440170274,410
440082415,410
440101676,410
440056316,410
440050819,410
440052262,410
440352440,412
440923619,412
440673491,411
440837241,409
440626762,411
440613011,411
440487819,409
440394331,410
440295321,409
440188136,410
440133185,410
440090626,410
440043999,410
440713348,412
440710687,409
440355791,409
440881150,412
440087919,410
450001093,413
450025595,413
450025603,413
450001138,413
450001147,413
450044692,413
450032188,413
450013700,413
450008815,413
450026242,413
450020804,413
450025193,413
450034454,413
450001281,413
450092675,413
450080717,413
450001300,413
450003494,413
450003495,413
