drop,keptIn,removedFrom,reaches,pctTwinned,pctInOwnLevel2
210079858,2020018240,2020000010,3,66.7,0.0
210110474,2020018240,2020000010,7,57.1,0.0
210113638,2020018240,2020000010,3,66.7,0.0
210205475,2020018240,2020000010,5,80.0,0.0
210243493,2020018240,2020000010,7,85.7,0.0
210254898,2020003440,2020000010,3,66.7,0.0
210260165,2020003440,2020000010,3,66.7,0.0
210335154,2020003440,2020000010,9,66.7,0.0
220001085,2020000010,2020003440,1,100.0,0.0
220093143,2020000010,2020003440,3,66.7,0.0
220106906,2020000010,2020003440,7,57.1,0.0
220141443,2020000010,2020003440,3,66.7,0.0
220168961,2020000010,2020003440,3,66.7,0.0
220170336,2020000010,2020003440,5,80.0,0.0
220174466,2020000010,2020003440,7,85.7,0.0
230068259,2020000010,2020018240,5,80.0,0.0
230069347,2020000010,2020018240,1,100.0,0.0
230071521,2020000010,2020018240,1,100.0,0.0
230090014,2020000010,2020018240,1,100.0,0.0
230115039,2020000010,2020018240,1,100.0,0.0
230129187,2020000010,2020018240,3,66.7,0.0
230134627,2020000010,2020018240,3,100.0,0.0
230138528,2020024230,2020018240,3,66.7,0.0
230149408,2020024230,2020018240,5,80.0,0.0
230150942,2020000010,2020018240,5,80.0,0.0
230173791,2020000010,2020018240,3,66.7,0.0
230175962,2020000010,2020018240,3,66.7,0.0
240142574,2020018240,2020024230,5,80.0,0.0
250008511,2020024230,2020033490,1,100.0,0.0
250009564,2020024230,2020033490,3,66.7,0.0
250073966,2020024230,2020033490,3,66.7,0.0
250075973,2020024230,2020033490,3,66.7,0.0
250092824,2020024230,2020033490,3,66.7,0.0
250092833,2020024230,2020033490,3,66.7,0.0
250107700,2020024230,2020033490,5,80.0,0.0
260087022,3020000010,2020041390,3,66.7,0.0
260099186,3020000010,2020041390,5,80.0,40.0
280002352,2020024230,2020065840,1,100.0,0.0
290008773,2020000010,2020071190,1,100.0,0.0
290010149,2020000010,2020071190,1,100.0,0.0
290441056,4020024190,2020071190,3,66.7,0.0
290600491,2020000010,2020071190,3,66.7,0.0
290611457,2020000010,2020071190,3,100.0,0.0
290615621,2020000010,2020071190,3,66.7,0.0
290619917,4020024190,2020071190,5,80.0,0.0
290665127,2020000010,2020071190,3,66.7,0.0
290766984,2020000010,2020071190,3,66.7,0.0
290856393,2020000010,2020071190,11,72.7,0.0
310103347,3020003790,3020000010,3,66.7,0.0
310139060,3020003790,3020000010,3,66.7,0.0
310141045,3020003790,3020000010,11,90.9,0.0
310143025,3020003790,3020000010,3,66.7,0.0
310176937,2020041390,3020000010,5,40.0,0.0
310200738,2020041390,3020000010,7,57.1,0.0
